Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks									
RCS IND sel - CM 2								RCSIndicatorsSwitch	1	1												
  CM RCS He TEMP ind - 60 deg-90 degF	2	HIDDEN_DELAY							-1	1												
  CM RCS He PRESS ind - 3300-3500 psi	2	HIDDEN_DELAY							-1	1												
  CM RCS MANF PRESS ind - 287-302 psi	5	HIDDEN_DELAY							-1	1												
MAN ATT ROLL - RATE CMD								ManualAttRollSwitch	1	1												
MAN ATT PITCH - RATE CMD								ManualAttPitchSwitch	1	1												
MAN ATT YAW - RATE CMD								ManualAttYawSwitch	1	1												
SC CONT - CMC								SCContSwitch	1	1												
RCS TRNFR - SM								RCSTrnfrSwitch	0	1												
CM RCS LOGIC - on (up)			1					CMRCSLogicSwitch	1	1												
CM RCS PRESS - off (guard) 								CMRCSPressSwitch	0G	1												
																						
"Final Entry Pad, CSM and LM state vectors, entry target"	525300	MISSION_TIME		Entry PAD	EI - 0h45min				-1	0												
Uplink									-1	1	P27 Update											
																						
DET STOP				Set Event Timer				EventTimerControlSwitch	0	1												
DET RESET								EventTimerUpDownSwitch	2	1												
"Update DET (up, to EI)"									-1	0												
																						
EMS FUNC - RNG SET				EMS Initialization				EMSFunctionSwitch	6	1												
Set range to PAD data range									-1	0												
EMS FUNC - Vo SET								EMSFunctionSwitch	5	1												
Slew scroll to PAD data VIO									-1	0												
EMS MODE - STBY								EMSModeSwitch	1	1												
EMS FUNC - ENTRY								EMSFunctionSwitch	4	1												
																						
FDAI SOURCE - ATT SET				RSI Test & Setup				FDAISourceSwitch	1	1												
ATT SET - GDC								FDAIAttSetSwitch	0	1												
EMS ROLL - on (up)								EMSRollSwitch	1	1												
GDC ALIGN pb - push & hold								GDCAlignButton	1H	1												
ATT SET YAW tw - adj thru 45 deg angle								ASCPYawSwitch	450	1												
  observe RSI tracks 45 deg									-1	1												
  then adj until RSI points up								ASCPYawSwitch	0	1												
GDC ALIGN pb - rel								GDCAlignButton	0	1												
EMS ROLL - OFF								EMSRollSwitch	0	1												
FDAI SEL - 1								FDAISelectSwitch	0	1												
FDAI SOURCE - ATT SET								FDAISourceSwitch	1	1												
ATT SET - IMU								FDAIAttSetSwitch	1	1												
ATT SET tw (3) null FDAI errors									-1	0												
ATT SET - GDC								FDAIAttSetSwitch	0	1												
GDC ALIGN pb - push								GDCAlignButton	1	1												
FDAI SOURCE - CMC								FDAISourceSwitch	2	1												
FDAI SEL - 1/2								FDAISelectSwitch	2	1												
																						
																						
G/N OPT PWR - off								GNPowerOpticsSwitch	0	1												
																						
Wait Until EI -30m (DET 30m)									-1	0												
MN BUS TIE BAT A/C - on (up)								MainBusTieBatAcSwitch	2	1												
MN BUS TIE BAT B/C - on (up)								MainBusTieBatBcSwitch	2	1												
