Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks						
SM RCS PRPLNT D - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1DSwitch	2	1									
SM RCS PRIM PRPLNT tb (4) - gray									-1	1									
VHF AM A - off (ctr)							"Panel 3, Comm Switches"	VHFAMASwitch	1	1									
VHF AM B - off (ctr)							"Panel 3, Comm Switches"	VHFAMBSwitch	1	1									
VHF ANT - RECY			3					VHFAntennaRotarySwitch	0	1									
																			
NONESS BUS - MN B			5	SPS Thrusting Prep				NonessBusSwitch	0	1									
Cycle Cryo Fans									-1	1	Cycle Cryo Fans				1	1	0		0
																			
BMAG MODE ROLL - RATE 2								BMAGRollSwitch	2	1									
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1									
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1									
dV CG - CSM								CGSwitch	0	1									
CMC MODE - FREE								CMCModeSwitch	0	1									
AUTO RCS SELECT (16) - as req'd for ullage									-1	1									
SC CONT - CMC								SCContSwitch	1	1									
CMC MODE - AUTO								CMCModeSwitch	2	1									
																			
V62E	2	HIDDEN_DELAY		Maneuver to PAD Burn Attitude				DSKY V 6 2 E	1	1									
V49E								DSKY V 4 9 E	1	1									
V25E								DSKY V 2 5 E	1	1									
Enter Burn Attitude from Maneuver PAD									-1	0									
PRO	2	HIDDEN_DELAY						DSKY P	1	1									
PRO	2	HIDDEN_DELAY						DSKY P	1	1									
 F 50 18									-1	0									
ENTER								DSKY E	1	1									
																			
Wait for TIG-15m									-1	0									
V37E 40E								DSKY V 3 7 E 4 0 E	1	1									
  F 50 18 Request MNVR to FDAI RPY Angles									-1	1									
BMAG MODE ROLL - RATE 2 (verify)								BMAGRollSwitch	2	1									
BMAG MODE PITCH - RATE 2 (verify)								BMAGPitchSwitch	2	1									
BMAG MODE YAW - RATE 2 (verify)								BMAGYawSwitch	2	1									
SC CONT - CMC								SCContSwitch	1	1									
CMC MODE - AUTO								CMCModeSwitch	2	1									
PRO								DSKY P	1	1									
  F 06 18 Auto MNVR to FDAI RPY Angles									-1	1									
  F 50 18 Request MNVR to FDAI RPY Angles									-1	1									
																			
cb STAB CONT / AC1 - close			8	Panel 8 cb check				StabContSystemAc1CircuitBraker	1	1									
cb STAB CONT / AC2 - close								StabContSystemAc2CircuitBraker	1	1									
cb SCS ECA/TVC AC2 - close								StabContSystemTVCAc1CircuitBraker	1	1									
cb SCS DIRECT ULL MNA - open								DirectUllMnACircuitBraker	0	1									
cb SCS DIRECT ULL MNB - open								DirectUllMnBCircuitBraker	0	1									
cb SCS CONTR/DIRECT MNA-1 - close								ContrDirectMnA1CircuitBraker	1	1									
cb SCS CONTR/DIRECT MNB-1 - close								ContrDirectMnB1CircuitBraker	1	1									
cb SCS CONTR/DIRECT MNA-2 - close								ContrDirectMnA2CircuitBraker	1	1									
cb SCS CONTR/DIRECT MNB-2 - close								ContrDirectMnB2CircuitBraker	1	1									
cb SCS A/C ROLL MNA - close								ACRollMnACircuitBraker	1	1									
cb SCS A/C ROLL MNB - close								ACRollMnBCircuitBraker	1	1									
cb SCS B/D ROLL MNA - close								BDRollMnACircuitBraker	1	1									
cb SCS B/D ROLL MNB - close								BDRollMnBCircuitBraker	1	1									
cb SCS PITCH MNA - close								PitchMnACircuitBraker	1	1									
cb SCS PITCH MNB - close								PitchMnBCircuitBraker	1	1									
cb SCS YAW MNA - close								YawMnACircuitBraker	1	1									
cb SCS YAW MNB - close								YawMnBCircuitBraker	1	1									
cb SPS GAUGING MNA - close								GaugingMnACircuitBraker	1	1									
cb SPS GAUGING MNB - close								GaugingMnBCircuitBraker	1	1									
cb SPS GAUGING AC1 - close								GaugingAc1CircuitBraker	1	1									
cb SPS GAUGING AC2 - close								GaugingAc2CircuitBraker	1	1									
cb SPS He VALVE MNA - close								HeValveMnACircuitBraker	1	1									
cb SPS He VALVE MNB - close								HeValveMnBCircuitBraker	1	1									
cb SPS PITCH 1 BAT A - close								PitchBatACircuitBraker	1	1									
cb SPS PITCH 2 BAT B - close								PitchBatBCircuitBraker	1	1									
cb SPS YAW 1 BAT A - close								YawBatACircuitBraker	1	1									
cb SPS YAW 2 BAT B - close								YawBatBCircuitBraker	1	1									
cb SPS PILOT VLV A MNA - close								PilotValveMnACircuit	1	1									
cb SPS PILOT VLV B MNB - close								PilotValveMnBCircuit	1	1									
ATT DBD - MIN								AttDeadbandSwitch	0	1									
RATE - LOW								AttRateSwitch	0	1									
LIM CYCLE - ON								LimitCycleSwitch	1	1									
MAN ATT ROLL - RATE CMD								ManualAttRollSwitch	1	1									
MAN ATT PITCH - RATE CMD								ManualAttPitchSwitch	1	1									
MAN ATT YAW - RATE CMD								ManualAttYawSwitch	1	1									
BMAG MODE ROLL - ATT1/RATE 2								BMAGRollSwitch	1	1									
BMAG MODE PITCH - ATT1/RATE 2								BMAGPitchSwitch	1	1									
BMAG MODE YAW - ATT1/RATE 2								BMAGYawSwitch	1	1									
RHC PWR DIR 1 - OFF								RotPowerDirect1Switch	1	1									
RHC PWR DIR 2 - OFF								RotPowerDirect2Switch	1	1									
SCS TVC PITCH - RATE CMD								SCSTvcPitchSwitch	1	1									
SCS TVC YAW - RATE CMD								SCSTvcYawSwitch	1	1									
TVC GMBL DR PITCH - AUTO								TVCGimbalDrivePitchSwitch	1	1									
TVC GMBL DR YAW - AUTO								TVCGimbalDriveYawSwitch	1	1									
																			
T-6:00									-1	0									
MN BUS TIE BAT A/C - on (up)			5				Panel 5	MainBusTieBatAcSwitch	2	1									
MN BUS TIE BAT B/C - on (up)							Panel 5	MainBusTieBatBcSwitch	2	1									
TVC SERVO PWR 1 - AC1/MNA			7					TVCServoPower1Switch	2	1									
TVC SERVO PWR 2 - AC2/MNB								TVCServoPower2Switch	0	1									
THC PWR - ON (up)								TransContrSwitch	1	1									
RHC PWR NORM 1 - AC								RotPowerNormal1Switch	0	1									
RHC PWR NORM 2 - AC								RotPowerNormal2Switch	0	1									
																			
T-5:00									-1	0									
Horizon Check (If Possible)									-1	0									
LV IND/GPI sw - GPI (verify)				TVC CHECK				LVFuelTankPressIndicatorSwitch	0	1									
GMBL MOT P1 - START					Prim TVC Check			Pitch1Switch	2	1									
GMBL MOT Y1 - START								Yaw1Switch	2	1									
THC - CW								THCRotary	2	1									
RHC - Verify no MTVC							Verify RHS does not move gimbal trim		-1	0									
SC CONT - CMC								SCContSwitch	1	1									
GMBL MOT P2 - START					Sec TVC Check			Pitch2Switch	2	1									
GMBL MOT Y2 - START								Yaw2Switch	2	1									
THC - CW								THCRotary	2	1									
Confirm trim cont on GPI inds									-1	1									
  SPS GMBL PITCH tw - -							Verify thumbwheels move gimbal trim	SPSGimbalPitchThumbwheel	-10	1									
  SPS GMBL PITCH tw - +							Verify thumbwheels move gimbal trim	SPSGimbalPitchThumbwheel	10	1									
  SPS GMBL PITCH tw - 0							Zero Pitch tw	SPSGimbalPitchThumbwheel	0	1									
  SPS GMBL YAW tw - -							Verify thumbwheels move gimbal trim	SPSGimbalYawThumbwheel	-10	1									
  SPS GMBL YAW tw - +							Verify thumbwheels move gimbal trim	SPSGimbalYawThumbwheel	10	1									
  SPS GMBL YAW tw - 0							Zero Yaw tw	SPSGimbalYawThumbwheel	0	1									
Set GPI Trim To Pad Values									-1	0									
RHC - perform MTVC check							Verify RHC moves gimbal trim		-1	0									
THC - Neutral							Panel 1	THCRotary	1	1									
RHC PWR NORM 1 - AC/DC								RotPowerNormal1Switch	2	1									
RHC PWR NORM 2 - AC/DC								RotPowerNormal2Switch	2	1									
BMAG MODE ROLL - ATT1/RATE 2								BMAGRollSwitch	1	1									
BMAG MODE PITCH - ATT1/RATE 2								BMAGPitchSwitch	1	1									
BMAG MODE YAW - ATT1/RATE 2								BMAGYawSwitch	1	1									
ENTR								DSKY E	1	1									
  F 50 25 00204 GMBL TEST OPTION									-1	1									
SC CONT - CMC (verify)								SCContSwitch	1	1									
PRO	2	HIDDEN_DELAY						DSKY P	1	1									
  Monitor GPI Response:									-1	1									
"  00,02,-02,00,02,-02,00,Trim"									-1	1									
																			
"  06 40 TFI, VG, DVM"	15	HIDDEN_DELAY							-1	1									
ROT PWR DIR 1 - MNA/MNB								RotPowerDirect1Switch	2	1									
ROT PWR DIR 2 - MNA/MNB								RotPowerDirect2Switch	2	1									
SPS He VLV A - AUTO (verify)							"Panel 3, SPS Switches"	SPSHeliumValveASwitch	2	1									
SPS He VLV B - AUTO (verify)							"Panel 3, SPS Switches"	SPSHeliumValveBSwitch	2	1									
LIM CYCLE - OFF								LimitCycleSwitch	0	1									
FDAI SCALE - 50/15								FDAIScaleSwitch	0	1									
cb SPS PITCH 2 BAT B - open								PitchBatBCircuitBraker	0	1									
cb SPS YAW 2 BAT B - open								YawBatBCircuitBraker	0	1									
																			
T-2:00									-1	0									
dV THRUST A - Normal								dVThrust1Switch	1	1									
THC - ARMED									-1	1									
RHC (both) - ARMED									-1	1									
TAPE RCDR RCD - RCD							"Panel 3, Comm Switches"	TapeRecorderRecordSwitch	2	1									
TAPE RCDR FWD - STOP							"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	1	1									
PCM BIT RATE - HI							"Panel 3, Comm Switches"	PCMBitRateSwitch	1	1									
TAPE RCDR FWD - FWD							"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	0	1									
T-0:35									-1	0									
DSKY Blanks									-1	1									
T-0:30									-1	0									
EMS MODE - NORM			1					EMSModeSwitch	2	1									
  Ullage (4 Jet 15 Sec)									-1	0									
T-0:05									-1	0									
PRO								DSKY P	1	1									
																			
Engine Cutoff									-1	0									
"  F 16 40 TFC, VG, DVM"									-1	1									
dV THRUST A - OFF								dVThrust1Switch	0G	1									
dV THRUST B - OFF								dVThrust2Switch	0G	1									
cb SPS PITCH 2 BAT B - close								PitchBatBCircuitBraker	1	1									
cb SPS YAW 2 BAT B - close								YawBatBCircuitBraker	1	1									
TVC SERVO PWR 1 - OFF			7					TVCServoPower1Switch	1	1									
TVC SERVO PWR 2 - OFF								TVCServoPower2Switch	1	1									
PRO								DSKY P	1	1									
  F 16 85 VG XYZ (CM)									-1	1									
  Null Residuals									-1	0									
EMS FUNC - OFF								EMSFunctionSwitch	0	1									
EMS MODE - STBY			1					EMSModeSwitch	1	1									
BMAG MODE ROLL - RATE 2								BMAGRollSwitch	2	1									
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1									
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1									
ATT DBD - MAX								AttDeadbandSwitch	1	1									
TAPE RCDR FWD - STOP							"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	1	1									
NONESS BUS - OFF			5					NonessBusSwitch	1	1									
THC PWR - OFF								TransContrSwitch	0	1									
PRO								DSKY P	1	1									
  F 37									-1	1									
V82E								DSKY V 8 2 E	1	1									
"  F 16 44 HA, HP, TFF"	5	HIDDEN_DELAY							-1	1									
PRO								DSKY P	1	1									
  F 37 00E								DSKY 0 0 E	1	1									
				CM RCS Activation															
SECS LOGIC 1 - on 							Panel 8	SECSLogic1Switch	1	1									
SECS LOGIC 2 - on							Panel 8	SECSLogic2Switch	1	1									
cb SECS ARM A BAT A - close								SECSArmBatACircuitBraker	1	1									
cb SECS ARM B BAT B - close								SECSArmBatBCircuitBraker	1	1									
MSFN confirm GO for PYRO ARM									-1	1									
SECS PYRO ARM A - ARM								PyroArmASwitch	1	1									
SECS PYRO ARM B - ARM								PyroArmBSwitch	1	1									
CM RCS PRPLNT 1 - ON								CMRCSProp1Switch	2	1									
CM RCS PRPLNT 2 - ON								CMRCSProp2Switch	2	1									
CM RCS PRPLNT 1&2 tb(2)-gray (verify)									-1	1									
CM RCS PRESS - on (up)							"Panel 2, RCS Switches"	CMRCSPressSwitch	1H	1									
RCS IND sw - CM1							"Panel 2, RCS Switches"	RCSIndicatorsSwitch	0	1									
RCS IND sw - CM2							"Panel 2, RCS Switches"	RCSIndicatorsSwitch	1	1									
  He stabilizes at 3300-3500 psia after 15 minutes									-1	1									
  MANF PRESS 287-302 psia									-1	1									
CM RCS PRESS - off (guard)							"Panel 2, RCS Switches"	CMRCSPressSwitch	0G	1									
																			
Verify CM/SM Sep Attitude									-1	1									
																			
EMS FUNC - RNG SET				EMS Initialization				EMSFunctionSwitch	6	1									
Set range to PAD data range									-1	0									
EMS FUNC - Vo SET								EMSFunctionSwitch	5	1									
Slew scroll to PAD data VIO									-1	0									
EMS MODE - STBY								EMSModeSwitch	1	1									
EMS FUNC - ENTRY								EMSFunctionSwitch	4	1									
																			
FDAI SOURCE - ATT SET				RSI Test & Setup			Panel 1	FDAISourceSwitch	1	1									
ATT SET - GDC							Panel 1	FDAIAttSetSwitch	0	1									
EMS ROLL - on (up)							Panel 1	EMSRollSwitch	1	1									
GDC ALIGN pb - push & hold								GDCAlignButton	1H	1									
ATT SET YAW tw - adj thru 45 deg angle								ASCPYawSwitch	450	1									
  observe RSI tracks 45 deg									-1	1									
  then adj until RSI points up								ASCPYawSwitch	0	1									
GDC ALIGN pb - rel								GDCAlignButton	0	1									
EMS ROLL - OFF								EMSRollSwitch	0	1									
FDAI SEL - 1					Align GDC to IMU		Panel 1	FDAISelectSwitch	0	1									
FDAI SOURCE - ATT SET							Panel 1	FDAISourceSwitch	1	1									
ATT SET - IMU							Panel 1	FDAIAttSetSwitch	1	1									
ATT SET tw (3) null FDAI errors							Panel 1		-1	0									
ATT SET - GDC							Panel 1	FDAIAttSetSwitch	0	1									
GDC ALIGN pb - push							Panel 1	GDCAlignButton	1	1									
																			
HI GAIN ANT PWR - OFF					Pwr Reduct		"Panel 2, High Gain Controls"	GHAPowerSwitch	0	1			Apollo 7?						
FC 1 PUMP - OFF			5				Panel 5	FuelCellPumps1Switch	1	1									
FC 2 PUMP - OFF							Panel 5	FuelCellPumps2Switch	1	1									
FC 3 PUMP - OFF							Panel 5	FuelCellPumps3Switch	1	1									
FC2 MNA - OFF							"Panel 3, FC Switches"	MainBusASwitch2	0	1									
FC2 MNB - OFF							"Panel 3, FC Switches"	MainBusBSwitch2	0	1									
S BD PWR AMPL - LOW							"Panel 3, Comm Switches"	SBandNormalPwrAmpl2Switch	0	1									
cb ECS RAD CONT/HTR MNA - open			5					CONTHTRSMnACircuitBraker	0	1									
cb ECS RAD CONT/HTR MNAB- open								CONTHTRSMnBCircuitBraker	0	1									
cb RAD HTRS OVLD BAT A - open								HTRSOVLDBatACircuitBraker	0	1									
cb RAD HTRS OVLD BAT B - open								HTRSOVLDBatBCircuitBraker	0	1									
cb WASTE DUMP HTRS MNA - open							Panel 5	ECSWasteH2OUrineDumpHTRMnACircuitBraker	0	1									
cb WASTE DUMP HTRS MNB - open							Panel 5	ECSWasteH2OUrineDumpHTRMnBCircuitBraker	0	1									
POT H2O HTR - OFF							"Panel 2, ECS switches"	PotH2oHtrSwitch	1	1									
SEC COOL EVAP - RSET							"Panel 2, ECS switches"	SecCoolantLoopEvapSwitch	0	1									
SEC COOL PUMP - off (ctr)								SecCoolantLoopPumpSwitch	1	1									
CAB FAN 1 - OFF			2				"Panel 2, ECS switches"	CabinFan1Switch	0	1									
CAB FAN 2 - OFF							"Panel 2, ECS switches"	CabinFan2Switch	0	1									
GLY EVAP IN TEMP - MAN							"Panel 2, ECS switches"	GlycolEvapTempInSwitch	0	1									
																			
V37E 61E				Entry Preparation	Program 61			DSKY V 3 7 E 6 1 E	1	1									
																			
SC CONT - SCS					Mnvr to CM/SM Sep Att			SCContSwitch	0	1									
CMC MODE - FREE								CMCModeSwitch	0	1									
RATE - HI								AttRateSwitch	1	1									
Yaw right 45 deg from Burn Att									-1	0									
RATE - LOW								AttRateSwitch	0	1									
MAN ATT ROLL - MIN IMP								ManualAttRollSwitch	0	1									
MAN ATT PITCH - MIN IMP								ManualAttPitchSwitch	0	1									
MAN ATT YAW - MIN IMP								ManualAttYawSwitch	0	1									
RCS TRNFR - CM							"Panel 2, RCS Switches"	RCSTrnfrSwitch	2	1									
Test CM RCS Thrusters									-1	0									
RCS TRNFR - SM							"Panel 2, RCS Switches"	RCSTrnfrSwitch	0	1									
MAN ATT ROLL - RATE CMD								ManualAttRollSwitch	1	1									
MAN ATT PITCH - RATE CMD								ManualAttPitchSwitch	1	1									
MAN ATT YAW - RATE CMD								ManualAttYawSwitch	1	1									
																			
"  F 06 61 (LAT, LONG, HDS UP/DN)"									-1	1									
PRO								DSKY P	1	1									
"  F 06 60 (G MAX, V PRED, GAMMA EI)"	5	HIDDEN_DELAY							-1	1									
Record values									-1	0									
PRO								DSKY P	1	1									
"  F 06 63 (RTGO, VIO, TFE)"	5	HIDDEN_DELAY							-1	1									
"Record values, compare with PAD for PGNCS go/no-go"									-1	0									
PRO								DSKY P	1	1									
"  F 50 25 (00041, BL, BL) REQUEST CM/SM SEP"	5	HIDDEN_DELAY			Program 62				-1	1									
																			
RATE - HI								AttRateSwitch	1	1									
ATT DBD - MIN								AttDeadbandSwitch	0	1									
BMAG MODE ROLL - ATT1/RATE 2								BMAGRollSwitch	1	1									
BMAG MODE PITCH - ATT1/RATE 2								BMAGPitchSwitch	1	1									
BMAG MODE YAW - ATT1/RATE 2								BMAGYawSwitch	1	1									
PRIM GLY TO RAD - BYPASS (verify)							Panel 325	GlycolToRadiatorsLever	0	1									
CM RCS LOGIC - on (verify)								CMRCSLogicSwitch	1	1									
MN BUS TIE BAT A/C - ON (verify)			5				Panel 5	MainBusTieBatAcSwitch	2	1									
MN BUS TIE BAT B/C - ON (verify)							Panel 5	MainBusTieBatBcSwitch	2	1									
																			
Wait for TIG +5m									-1	0									
CM/SM SEP 1 - on (up)			2					CmSmSep1Switch	1	1									
CM/SM SEP 2 - on (up)								CmSmSep2Switch	1	1									
  SM C/W LIGHTS - on									-1	1									
C/W LIGHTS - CM								CautionWarningCMCSMSwitch	0	1									
"MASTER ALARM pb/lt (3) - on, push"			"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1									
RCS TRNFR - CM							"Panel 2, RCS Switches"	RCSTrnfrSwitch	2	1									
  SM C/W LIGHTS - off									-1	1									
  CM RCS FUEL PRESS - 285 - 302 PSI									-1	1									
  CM RCS OXID PRESS - 285 - 302 PSI									-1	1									
CM RCS LOGIC - off			1					CMRCSLogicSwitch	0	1									
																			
Copy Postburn Entry PAD				MCC Update					-1	0									
CM/SM SEP 1 - off (guarded)								CmSmSep1Switch	0G	1									
CM/SM SEP 2 - off (guarded)								CmSmSep2Switch	0G	1									
SEC COOL EVAP - EVAP							"Panel 2, ECS switches"	SecCoolantLoopEvapSwitch	2	1									
SEC COOL PUMP - AC 1(2)								SecCoolantLoopPumpSwitch	2	1									
																			
AUTO RCS A/C ROLL A1 - OFF					Activate CM RCS Ring 1		Panel 8	AcRollA1Switch	1	1									
AUTO RCS A/C ROLL C1 - OFF							Panel 8	AcRollC1Switch	1	1									
AUTO RCS A/C ROLL A2 - OFF							Panel 8	AcRollA2Switch	1	1									
AUTO RCS A/C ROLL C2 - OFF							Panel 8	AcRollC2Switch	1	1									
AUTO RCS B/D ROLL B1 - MNA							Panel 8	BdRollB1Switch	2	1									
AUTO RCS B/D ROLL D1 - OFF							Panel 8	BdRollD1Switch	1	1									
AUTO RCS B/D ROLL B2 - MNA							Panel 8	BdRollB2Switch	2	1									
AUTO RCS B/D ROLL D2 - OFF							Panel 8	BdRollD2Switch	1	1									
AUTO RCS PITCH A3 - OFF							Panel 8	PitchA3Switch	1	1									
AUTO RCS PITCH C3 - MNA							Panel 8	PitchC3Switch	2	1									
AUTO RCS PITCH A4 - MNA							Panel 8	PitchA4Switch	2	1									
AUTO RCS PITCH C4 - OFF							Panel 8	PitchC4Switch	1	1									
AUTO RCS YAW B3 - MNA							Panel 8	YawB3Switch	2	1									
AUTO RCS YAW D3 - OFF							Panel 8	YawD3Switch	1	1									
AUTO RCS YAW B4 - OFF							Panel 8	YawB4Switch	1	1									
AUTO RCS YAW D4 - MNA							Panel 8	YawD4Switch	2	1									
																			
Yaw back to 0 deg									-1	0									
Pitch to ENTRY ATT									-1	0									
Roll 180 deg									-1	0									
ATT DBD - MAX								AttDeadbandSwitch	1	1									
MAN ATT PITCH - ACCEL CMD								ManualAttPitchSwitch	2	1									
EMS DATA - Verify									-1	1									
EMS FUNC - ENTRY (verify)								EMSFunctionSwitch	4	1									
EMS MODE - NORMAL								EMSModeSwitch	2	1									
MAINTAIN HORIZ TRACK									-1	1									
PRO (Activates Entry DAP)								DSKY P	1	1									
"  F 06 61 (LAT, LONG, HDS UP/DN)"									-1	1									
FDAI SOURCE - CMC							Panel 1	FDAISourceSwitch	2	1									
FDAI SEL - 1/2							Panel 1	FDAISelectSwitch	2	1									
PRO								DSKY P	1	1									
  F 06 22 (If >45 DEG of velocity vector)									-1	1									
																			
"  F 06 64 (G, VI, RTGO)"					Program 63				-1	1									
FDAI SCALE - 50/15								FDAIScaleSwitch	0	1									
ROT PWR DIR 1 - MNA/MNB (verify)								RotPowerDirect1Switch	2	1									
ROT PWR DIR 2 - MNA/MNB (verify)								RotPowerDirect2Switch	2	1									
PCM BIT RATE - HI			3				"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	2	1									
TAPE RCDR RCD - RCD							"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	1	1									
TAPE RCDR FWD - FWD							"Panel 3, Comm Switches"	TapeRecorderRecordSwitch	2	1									
HORIZ CK									-1	1									
Pitch error needle goes toward zero approaching .05G time									-1	1									
When PGNS is verified									-1	0									
MAN ATT ROLL - RATE CMD			1		If PGNCS is GO			ManualAttRollSwitch	1	1									
MAN ATT PITCH - RATE CMD								ManualAttPitchSwitch	1	1									
MAN ATT YAW - RATE CMD								ManualAttYawSwitch	1	1									
SC CONT - CMC								SCContSwitch	1	1									
CMC MODE - AUTO								CMCModeSwitch	2	1									
																			
"  F 06 68 (BETA, VI, HDOT)"					Program 64				-1	0									
.05 G - on (up)							Panel 1	GSwitch	1	1									
EMS ROLL - on (up)							Panel 1	EMSRollSwitch	1	1									
																			
"  F 06 66 (BETA, CRSRNG ERR, DWNRNG ERR)"					Program 67				-1	0									
KEY VERB								DSKY V	1	1									
Record DNRNG ERR									-1	0									
KEY REL								DSKY K	1+A397:J398	1									
"  F 16 67 (RTGO, LAT, LONG)"									-1	0									
SC CONT - SCS								SCContSwitch	0	1									
RTGO NEG - LIFT UP									-1	1									
RTGO POS - LIFT DOWN									-1	1									
																			
"Proceed when passing 90,000 feet"									-1	0									
STEAM PRESS - PEGGED					"90,000 ft"				-1	1									
Monitor altimeter									-1	1									
"Proceed when passing 40,000 feet"									-1	0									
Perform Splashdown Checklist									-1	1	Splashdown								
